,Attempt,Color,Gesture Detected,Gesture Requested,Success,Reaction Time,Move Time
0,1,BLUE,RAISE,CROSS,False,1036,1288
1,2,BLUE,RAISE,CROSS,False,580,873
2,3,BLUE,RAISE,CROSS,False,344,653
