,Attempt,Color,Gesture Detected,Gesture Requested,Success,Reaction Time,Move Time
0,1,BLUE,RAISE,CROSS,False,5537,5682
1,2,BLUE,RAISE,CROSS,False,482,536
2,3,BLUE,RAISE,CROSS,False,486,554
